filename,artist,style,genre
26396.jpg,Koloman Moser,Art Nouveau (Modern),sketch and study
26991.jpg,Pietro Perugino,High Renaissance,religious painting
93464.jpg,Dante Gabriel Rossetti,Romanticism,religious painting
5006.jpg,John Ruskin,Romanticism,landscape
69696.jpg,Paul Delvaux,Surrealism,genre painting
27943.jpg,James Tissot,Realism,genre painting
11406.jpg,Paul Cezanne,Cubism,genre painting
77911.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
29785.jpg,Andrea Mantegna,High Renaissance,allegorical painting
100691.jpg,Claude Monet,Impressionism,cityscape
38552.jpg,Henri Matisse,Post-Impressionism,nude painting (nu)
39848.jpg,James Tissot,Impressionism,genre painting
96933.jpg,Amedeo Modigliani,Expressionism,portrait
16259.jpg,Vincent van Gogh,Post-Impressionism,sketch and study
100412.jpg,Sir Lawrence Alma-Tadema,Romanticism,genre painting
6146.jpg,Le Nain brothers,Baroque,genre painting
4844.jpg,Guido Reni,Baroque,religious painting
48369.jpg,Koloman Moser,Art Nouveau (Modern),design
8085.jpg,Felix Vallotton ,Post-Impressionism,landscape
2266.jpg,Utagawa Kuniyoshi,Ukiyo-e,animal painting
37778.jpg,Claude Monet,Impressionism,landscape
24081.jpg,Childe Hassam,Impressionism,landscape
102920.jpg,Gustave de Smet,Expressionism,nude painting (nu)
76521.jpg,Giorgio Vasari,Mannerism (Late Renaissance),portrait
51689.jpg,Jean-Baptiste-Simeon Chardin,Rococo,genre painting
76154.jpg,Vincent van Gogh,Post-Impressionism,portrait
80395.jpg,Gustav Klimt,Art Nouveau (Modern),landscape
38350.jpg,Jacob Jordaens,Baroque,religious painting
74475.jpg,Mario Sironi,Futurism,figurative
5501.jpg,Lorenzo Lotto,High Renaissance,religious painting
58265.jpg,Rembrandt,Baroque,genre painting
11262.jpg,Albrecht Durer,Northern Renaissance,religious painting
77945.jpg,Guido Reni,Baroque,history painting
40783.jpg,Edgar Degas,Impressionism,history painting
60868.jpg,Hans Holbein the Younger,Northern Renaissance,portrait
60003.jpg,Felicien Rops,Symbolism,nude painting (nu)
45750.jpg,Guido Reni,Baroque,religious painting
19407.jpg,John Everett Millais,Realism,self-portrait
96381.jpg,Edgar Degas,Impressionism,genre painting
78774.jpg,Egon Schiele,Expressionism,portrait
83944.jpg,Dante Gabriel Rossetti,Romanticism,portrait
89537.jpg,William Holman Hunt,Symbolism,religious painting
61224.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
86433.jpg,Paul Delvaux,Surrealism,genre painting
81294.jpg,Maurice Quentin de La Tour,Rococo,portrait
69545.jpg,Frida Kahlo,Naïve Art (Primitivism),self-portrait
26242.jpg,Gustav Klimt,Art Nouveau (Modern),landscape
89260.jpg,John Everett Millais,Realism,genre painting
65035.jpg,Claude Monet,Impressionism,landscape
51713.jpg,Henry Raeburn,Romanticism,portrait
65424.jpg,Dante Gabriel Rossetti,Romanticism,religious painting
95071.jpg,Hugo van der Goes,Northern Renaissance,religious painting
63050.jpg,Marcus Larson,Romanticism,marina
66343.jpg,Vincent van Gogh,Realism,genre painting
80617.jpg,Henri de Toulouse-Lautrec,Post-Impressionism,portrait
71722.jpg,Alfred Sisley,Realism,landscape
26628.jpg,Gustav Klimt,Art Nouveau (Modern),landscape
17437.jpg,Carl Spitzweg,Biedermeier,landscape
4696.jpg,Gustave Caillebotte,Impressionism,cityscape
75097.jpg,Eustache Le Sueur,Baroque,religious painting
65048.jpg,Gustave Dore,Romanticism,illustration
47995.jpg,Sir Lawrence Alma-Tadema,Romanticism,history painting
18532.jpg,Camille Corot,Realism,landscape
50826.jpg,Giovanni Battista Tiepolo,Rococo,mythological painting
81880.jpg,Gustav Klimt,Art Nouveau (Modern),portrait
77760.jpg,Dirk Bouts,Northern Renaissance,religious painting
89462.jpg,Jacob Jordaens,Baroque,mythological painting
33132.jpg,Umberto Boccioni,Futurism,genre painting
94595.jpg,Ivan Bilibin,Art Nouveau (Modern),landscape
75263.jpg,Gustave Dore,Romanticism,illustration
71807.jpg,George Stubbs,Romanticism,wildlife painting
44203.jpg,Vincent van Gogh,Post-Impressionism,self-portrait
21169.jpg,Georges Seurat,Post-Impressionism,genre painting
21497.jpg,Lorenzo Lotto,High Renaissance,religious painting
8971.jpg,Pierre-Narcisse Guerin,Neoclassicism,mythological painting
69158.jpg,Francisco Goya,Romanticism,genre painting
362.jpg,Guido Reni,Baroque,religious painting
78936.jpg,Utagawa Kunisada,Ukiyo-e,yakusha-e
32890.jpg,Paul Delvaux,Surrealism,genre painting
53507.jpg,Vincent van Gogh,Realism,portrait
84656.jpg,Eugene Boudin,Impressionism,genre painting
44118.jpg,Balthus,Expressionism,landscape
75217.jpg,Fernand Leger,Cubism,genre painting
41719.jpg,Pierre Bonnard,Post-Impressionism,genre painting
17188.jpg,Gustave Dore,Romanticism,illustration
79065.jpg,Pierre-Paul Prud'hon,Romanticism,portrait
65428.jpg,Gustav Klimt,Art Nouveau (Modern),landscape
61146.jpg,Pierre Bonnard,Intimism,nude painting (nu)
52831.jpg,Jacopo Pontormo,Mannerism (Late Renaissance),religious painting
45906.jpg,Pieter de Hooch,Baroque,genre painting
32624.jpg,Frida Kahlo,Naïve Art (Primitivism),self-portrait
65648.jpg,Jan van Hemessen,Northern Renaissance,religious painting
79429.jpg,Franz Stuck,Symbolism,portrait
52579.jpg,Vasile Kazar,Expressionism,illustration
48388.jpg,Max Slevogt,Impressionism,portrait
60006.jpg,Oleksandr Bogomazov,Cubo-Futurism,portrait
37982.jpg,Caravaggio,Baroque,religious painting
38032.jpg,John Ruskin,Romanticism,sketch and study
99952.jpg,Sir Lawrence Alma-Tadema,Romanticism,genre painting
10711.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
23601.jpg,Vincent van Gogh,Realism,portrait
68116.jpg,Vincent van Gogh,Post-Impressionism,self-portrait
14704.jpg,Pierre Bonnard,Intimism,interior
99432.jpg,Vincent van Gogh,Realism,genre painting
81371.jpg,Rogier van der Weyden,Northern Renaissance,religious painting
43561.jpg,John Ruskin,Romanticism,cityscape
25750.jpg,Vincent van Gogh,Post-Impressionism,self-portrait
57981.jpg,Niko Pirosmani,Naïve Art (Primitivism),genre painting
30541.jpg,Ferdinand Hodler,Symbolism,sketch and study
72229.jpg,Albrecht Durer,Northern Renaissance,design
3038.jpg,Amedeo Modigliani,Expressionism,portrait
23470.jpg,Edgar Degas,Impressionism,sketch and study
47545.jpg,Gustave Dore,Romanticism,illustration
62728.jpg,Pablo Picasso,Expressionism,portrait
68082.jpg,Gustav Klimt,Art Nouveau (Modern),landscape
93438.jpg,Giovanni Battista Piranesi,Neoclassicism,cityscape
92537.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
70484.jpg,Giovanni Boldini,Realism,portrait
58533.jpg,Lorenzo Lotto,High Renaissance,religious painting
36415.jpg,Felicien Rops,Symbolism,illustration
58582.jpg,Gustave Moreau,Symbolism,religious painting
88537.jpg,Eugene de Blaas,Academicism,portrait
74017.jpg,Gustave Dore,Romanticism,illustration
42305.jpg,Eustache Le Sueur,Baroque,mythological painting
12456.jpg,August Macke,Orphism,genre painting
85696.jpg,Fernand Leger,Cubism,genre painting
36615.jpg,John Everett Millais,Romanticism,genre painting
71297.jpg,Filippo Lippi,Early Renaissance,religious painting
87402.jpg,Isaac van Ostade,Baroque,landscape
59148.jpg,Hans Holbein the Younger,Northern Renaissance,portrait
788.jpg,Gustave Dore,Romanticism,illustration
1855.jpg,Isaac van Ostade,Baroque,genre painting
38208.jpg,Sir Lawrence Alma-Tadema,Romanticism,religious painting
78309.jpg,Koloman Moser,Art Nouveau (Modern),design
32077.jpg,Vincent van Gogh,Post-Impressionism,portrait
6322.jpg,Giulio Turcato,Lyrical Abstraction,abstract
40751.jpg,Jacopo Pontormo,Mannerism (Late Renaissance),religious painting
40370.jpg,Pieter Bruegel the Elder,Northern Renaissance,mythological painting
52390.jpg,Vincent van Gogh,Post-Impressionism,cloudscape
99926.jpg,John Everett Millais,Realism,portrait
16758.jpg,Gustave Dore,Romanticism,illustration
7421.jpg,Antonello da Messina,Early Renaissance,religious painting
97902.jpg,Jan Toorop,Symbolism,symbolic painting
23494.jpg,Vincent van Gogh,Realism,portrait
50427.jpg,Jacob Jordaens,Baroque,religious painting
66323.jpg,Lucas Cranach the Elder,Northern Renaissance,mythological painting
25352.jpg,Le Nain brothers,Baroque,genre painting
93164.jpg,Pierre Bonnard,Post-Impressionism,portrait
57323.jpg,Guido Reni,Baroque,religious painting
30227.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
66583.jpg,Martin Johnson Heade,Romanticism,animal painting
66037.jpg,Niko Pirosmani,Naïve Art (Primitivism),genre painting
54315.jpg,Shitao,Ink and wash painting,landscape
40446.jpg,Vincent van Gogh,Post-Impressionism,still life
59231.jpg,Vincent van Gogh,Post-Impressionism,self-portrait
93631.jpg,Gustave Dore,Romanticism,illustration
33916.jpg,John Constable,Romanticism,landscape
88803.jpg,Gustav Klimt,Art Nouveau (Modern),portrait
43966.jpg,Gustave Dore,Romanticism,illustration
29294.jpg,Ferdinand Hodler,Art Nouveau (Modern),sketch and study
42753.jpg,Gustave Dore,Romanticism,illustration
84459.jpg,Andrea Mantegna,Early Renaissance,religious painting
76166.jpg,Gustave Caillebotte,Impressionism,still life
18873.jpg,Claude Monet,Impressionism,landscape
96298.jpg,Pablo Picasso,Expressionism,portrait
53137.jpg,John French Sloan,New Realism,self-portrait
8791.jpg,Amedeo Modigliani,Expressionism,portrait
59016.jpg,Gustave Caillebotte,Impressionism,genre painting
27157.jpg,Carlo Crivelli,Early Renaissance,religious painting
35858.jpg,Albrecht Durer,Northern Renaissance,portrait
78100.jpg,Nicolas Poussin,Classicism,genre painting
44213.jpg,Joshua Reynolds,Rococo,portrait
48013.jpg,Carlo Crivelli,Early Renaissance,religious painting
53020.jpg,Gustave Dore,Romanticism,illustration
2288.jpg,Guido Reni,Baroque,allegorical painting
18188.jpg,Constantin Piliuta,Post-Impressionism,illustration
88362.jpg,Carl Spitzweg,Biedermeier,genre painting
13672.jpg,Albrecht Durer,Northern Renaissance,religious painting
20614.jpg,Paul Delvaux,Surrealism,genre painting
64641.jpg,Felix Vallotton ,Realism,sketch and study
86264.jpg,Felicien Rops,Symbolism,illustration
69201.jpg,Lorenzo Lotto,High Renaissance,religious painting
14760.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
72434.jpg,John Constable,Romanticism,marina
39019.jpg,John Constable,Romanticism,marina
12408.jpg,Norman Rockwell,Regionalism,genre painting
35497.jpg,Jacob Jordaens,Baroque,genre painting
43403.jpg,Pierre Bonnard,Intimism,genre painting
15168.jpg,Rene Magritte,Surrealism,symbolic painting
47323.jpg,David Burliuk,Naïve Art (Primitivism),portrait
92533.jpg,El Greco,Mannerism (Late Renaissance),religious painting
55386.jpg,John Singleton Copley,Neoclassicism,portrait
44741.jpg,Jean-Leon Gerome,Orientalism,genre painting
14046.jpg,John Everett Millais,Romanticism,religious painting
58455.jpg,Guido Reni,Baroque,religious painting
26907.jpg,Vincent van Gogh,Realism,portrait
91604.jpg,Amedeo Modigliani,Expressionism,nude painting (nu)
45222.jpg,Hans Holbein the Younger,Northern Renaissance,portrait
70268.jpg,Gustave Dore,Romanticism,illustration
40791.jpg,Salvador Dali,Surrealism,design
33868.jpg,Dante Gabriel Rossetti,Romanticism,portrait
40724.jpg,John Everett Millais,Romanticism,sketch and study
12966.jpg,Albrecht Durer,Northern Renaissance,illustration
99584.jpg,Vincent van Gogh,Realism,portrait
9023.jpg,Georg Pauli,Impressionism,genre painting
59831.jpg,Nicolas Poussin,Classicism,genre painting
3687.jpg,Gustave Dore,Romanticism,illustration
41513.jpg,Otto Dix,Expressionism,allegorical painting
22593.jpg,Guido Reni,Baroque,religious painting
60297.jpg,Limbourg brothers,International Gothic,illustration
84397.jpg,Limbourg brothers,International Gothic,illustration
20358.jpg,Limbourg brothers,International Gothic,illustration
22397.jpg,Limbourg brothers,International Gothic,illustration
18498.jpg,Jusepe de Ribera,Tenebrism,religious painting
30631.jpg,Gustav Klimt,Symbolism,allegorical painting
101786.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
81787.jpg,Katsushika Hokusai,Ukiyo-e,bird-and-flower painting
49542.jpg,Giovanni Battista Tiepolo,Rococo,history painting
14186.jpg,Akseli Gallen-Kallela,Symbolism,mythological painting
74989.jpg,Lorenzo Lotto,High Renaissance,portrait
82556.jpg,Gustave Dore,Romanticism,illustration
73317.jpg,Margareta Sterian,Expressionism,genre painting
78811.jpg,Winslow Homer,Realism,genre painting
12419.jpg,Gustave Caillebotte,Impressionism,cityscape
5259.jpg,Balthus,Expressionism,sketch and study
41080.jpg,Salvador Dali,Surrealism,symbolic painting
3457.jpg,Pierre-Paul Prud'hon,Romanticism,sketch and study
76208.jpg,Pablo Picasso,Expressionism,genre painting
81283.jpg,Orest Kiprensky,Romanticism,portrait
69865.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
42458.jpg,Andrea Mantegna,High Renaissance,religious painting
61290.jpg,Theophile Steinlen,Realism,cityscape
71102.jpg,Carlo Crivelli,Early Renaissance,religious painting
38958.jpg,William Turner,Romanticism,cityscape
102085.jpg,Balthus,Expressionism,genre painting
28966.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
53343.jpg,Raphael,High Renaissance,religious painting
9681.jpg,Ernst Ludwig Kirchner,Expressionism,genre painting
560.jpg,Vincent van Gogh,Post-Impressionism,landscape
32406.jpg,Orest Kiprensky,Romanticism,portrait
50380.jpg,Amedeo Modigliani,Expressionism,portrait
99081.jpg,Balthus,Expressionism,nude painting (nu)
85764.jpg,Gustave Dore,Romanticism,illustration
30527.jpg,Georges Seurat,Pointillism,cityscape
18624.jpg,Moise Kisling,Post-Impressionism,portrait
54556.jpg,Raoul Dufy,Naïve Art (Primitivism),genre painting
8728.jpg,Henri Fantin-Latour,Realism,portrait
102899.jpg,William-Adolphe Bouguereau,Realism,portrait
98872.jpg,Gustave Caillebotte,Impressionism,genre painting
27545.jpg,Gustave Dore,Romanticism,illustration
71177.jpg,Carl Bloch,Academicism,history painting
100155.jpg,Aubrey Beardsley,Art Nouveau (Modern),genre painting
63909.jpg,Pierre-Paul Prud'hon,Romanticism,portrait
29845.jpg,William-Adolphe Bouguereau,Realism,genre painting
19289.jpg,Gustave Dore,Romanticism,illustration
41257.jpg,John Everett Millais,Realism,landscape
88412.jpg,Edward Burne-Jones,Romanticism,mythological painting
6973.jpg,Charles-Francois Daubigny,Realism,landscape
73851.jpg,Dante Gabriel Rossetti,Romanticism,literary painting
73838.jpg,Raoul Dufy,Naïve Art (Primitivism),cityscape
22365.jpg,John Everett Millais,Realism,religious painting
59293.jpg,Aubrey Beardsley,Art Nouveau (Modern),illustration
11505.jpg,Gustave Dore,Romanticism,illustration
42772.jpg,Pavel Filonov,Analytical Realism,portrait
103127.jpg,Gustave Dore,Romanticism,illustration
34311.jpg,Vincent van Gogh,Realism,genre painting
38644.jpg,Hans Memling,Northern Renaissance,religious painting
59233.jpg,Pablo Picasso,Expressionism,portrait
93248.jpg,Cornelis de Vos,Baroque,portrait
92624.jpg,Balthus,Surrealism,nude painting (nu)
98276.jpg,Theo van Doesburg,Neoplasticism,abstract
13538.jpg,Vincent van Gogh,Post-Impressionism,landscape
14997.jpg,Vincent van Gogh,Post-Impressionism,landscape
51652.jpg,James McNeill Whistler,Realism,portrait
46234.jpg,Arnold Böcklin,Romanticism,landscape
33584.jpg,Edgar Degas,Impressionism,genre painting
40347.jpg,Pierre Bonnard,Post-Impressionism,genre painting
57848.jpg,Dante Gabriel Rossetti,Romanticism,portrait
90634.jpg,Pierre Puvis de Chavannes,Symbolism,allegorical painting
53571.jpg,Jean-Baptiste-Simeon Chardin,Rococo,genre painting
78831.jpg,Carlo Crivelli,Early Renaissance,religious painting
42494.jpg,Guido Reni,Baroque,portrait
41542.jpg,Vincent van Gogh,Post-Impressionism,landscape
52914.jpg,William Turner,Romanticism,literary painting
40720.jpg,Konstantin Makovsky,Romanticism,portrait
69197.jpg,Jacob Jordaens,Baroque,portrait
76754.jpg,Koloman Moser,Art Nouveau (Modern),design
45309.jpg,Richard Gerstl,Expressionism,landscape
73039.jpg,Raoul Dufy,Naïve Art (Primitivism),portrait
52091.jpg,Hieronymus Bosch,Northern Renaissance,religious painting
74794.jpg,John William Godward,Neoclassicism,genre painting
34987.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
55062.jpg,Frida Kahlo,Naïve Art (Primitivism),self-portrait
98137.jpg,Pietro Perugino,High Renaissance,religious painting
75476.jpg,Carlo Crivelli,Early Renaissance,religious painting
85925.jpg,Francisco de Zurbaran,Baroque,religious painting
65548.jpg,Theo van Doesburg,Cubism,abstract
15673.jpg,Maurice Quentin de La Tour,Rococo,self-portrait
91798.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
17899.jpg,Pierre Bonnard,Post-Impressionism,animal painting
79113.jpg,John William Godward,Neoclassicism,portrait
8486.jpg,Norman Rockwell,Regionalism,genre painting
58429.jpg,Edward Hopper,New Realism,cityscape
18772.jpg,Gustave Dore,Romanticism,illustration
74171.jpg,Gwen John,Post-Impressionism,portrait
47015.jpg,M.C. Escher,Surrealism,capriccio
44504.jpg,Fernand Leger,Cubism,cityscape
76219.jpg,Dante Gabriel Rossetti,Romanticism,genre painting
38514.jpg,Vincent van Gogh,Realism,landscape
93548.jpg,Claude Monet,Impressionism,flower painting
11318.jpg,Lorenzo Lotto,High Renaissance,religious painting
93603.jpg,Gustav Klimt,Symbolism,animal painting
9224.jpg,Margareta Sterian,Expressionism,genre painting
41083.jpg,Frida Kahlo,Naïve Art (Primitivism),portrait
93665.jpg,William-Adolphe Bouguereau,Realism,portrait
7664.jpg,Theodor Severin Kittelsen,Neo-Romanticism,illustration
1278.jpg,Francisco de Zurbaran,Baroque,religious painting
23519.jpg,Carlo Crivelli,Early Renaissance,religious painting
46192.jpg,Vincent van Gogh,Post-Impressionism,self-portrait
24701.jpg,Egon Schiele,Expressionism,genre painting
59162.jpg,Tintoretto,Mannerism (Late Renaissance),battle painting
76238.jpg,Henry Raeburn,Romanticism,portrait
19267.jpg,Gustave Dore,Romanticism,illustration
77030.jpg,Wifredo Lam,Surrealism,figurative
56133.jpg,Utagawa Kuniyoshi,Ukiyo-e,genre painting
48227.jpg,Balthus,Expressionism,landscape
1110.jpg,Albrecht Durer,Northern Renaissance,sketch and study
83480.jpg,Anita Malfatti,Post-Impressionism,portrait
24576.jpg,Emmanuel Zairis,Post-Impressionism,genre painting
70156.jpg,John Singer Sargent,Realism,genre painting
28114.jpg,Angelica Kauffman,Neoclassicism,history painting
77687.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
13223.jpg,Jozsef Rippl-Ronai,Symbolism,landscape
82613.jpg,Gustave Caillebotte,Impressionism,genre painting
39069.jpg,Vincent van Gogh,Post-Impressionism,sketch and study
73469.jpg,Paul Delvaux,Surrealism,cityscape
15743.jpg,Sir Lawrence Alma-Tadema,Romanticism,genre painting
21941.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
26158.jpg,Giorgio de Chirico,Metaphysical art,allegorical painting
30173.jpg,Giorgio de Chirico,Metaphysical art,cityscape
11526.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
32912.jpg,Amedeo Modigliani,Expressionism,nude painting (nu)
71506.jpg,Lorenzo Lotto,High Renaissance,religious painting
24797.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
39262.jpg,Theodor Severin Kittelsen,Realism,sketch and study
36429.jpg,Gustave Caillebotte,Impressionism,portrait
3524.jpg,Ferdinand Hodler,Art Nouveau (Modern),landscape
101796.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
21806.jpg,Vincent van Gogh,Post-Impressionism,portrait
100807.jpg,John Everett Millais,Realism,portrait
50595.jpg,Paul Signac,Pointillism,cityscape
3644.jpg,Gustave Caillebotte,Impressionism,genre painting
65210.jpg,Gustave Caillebotte,Impressionism,genre painting
16660.jpg,Gustave Caillebotte,Impressionism,genre painting
22382.jpg,Gustave Caillebotte,Impressionism,marina
16338.jpg,Paul Delvaux,Surrealism,nude painting (nu)
71253.jpg,James McNeill Whistler,Realism,portrait
19310.jpg,Eugene Boudin,Impressionism,landscape
47495.jpg,Francis Picabia,Cubism,abstract
760.jpg,Frida Kahlo,Naïve Art (Primitivism),self-portrait
99112.jpg,Gustave Caillebotte,Impressionism,genre painting
50007.jpg,John William Godward,Neoclassicism,portrait
80666.jpg,Anders Zorn,Realism,nude painting (nu)
37059.jpg,Martin Schongauer,Northern Renaissance,portrait
26340.jpg,Salvador Dali,Surrealism,religious painting
8805.jpg,Rene Duvillier,Lyrical Abstraction,abstract
9879.jpg,Forrest Bess,Outsider art,abstract
38698.jpg,Francisco de Zurbaran,Baroque,religious painting
50613.jpg,Childe Hassam,Impressionism,cityscape
65263.jpg,John Ruskin,Romanticism,landscape
7732.jpg,Henri Matisse,Expressionism,nude painting (nu)
51624.jpg,Vincent van Gogh,Post-Impressionism,landscape
89005.jpg,Paula Modersohn-Becker,Expressionism,landscape
4182.jpg,Paula Modersohn-Becker,Expressionism,literary painting
34784.jpg,Franz Stuck,Symbolism,portrait
26640.jpg,Utagawa Kuniyoshi,Ukiyo-e,mythological painting
36062.jpg,Caspar David Friedrich,Romanticism,landscape
22497.jpg,Vincent van Gogh,Realism,landscape
49174.jpg,Caravaggio,Baroque,religious painting
21210.jpg,Giorgio de Chirico,Metaphysical art,cityscape
3170.jpg,John Henry Twachtman,Impressionism,landscape
43845.jpg,Sir Lawrence Alma-Tadema,Romanticism,genre painting
92137.jpg,Carl Spitzweg,Biedermeier,genre painting
72210.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
5316.jpg,James Tissot,Realism,genre painting
9412.jpg,Vincent van Gogh,Realism,flower painting
16345.jpg,Balthus,Expressionism,genre painting
34930.jpg,Arman Manookian,Naïve Art (Primitivism),genre painting
53696.jpg,Salvador Dali,Surrealism,allegorical painting
9013.jpg,John Hoppner,Romanticism,portrait
30642.jpg,Sir Lawrence Alma-Tadema,Romanticism,genre painting
44393.jpg,Carl Spitzweg,Biedermeier,genre painting
17239.jpg,Louis Comfort Tiffany,Art Nouveau (Modern),design
26402.jpg,Felicien Rops,Symbolism,genre painting
57842.jpg,Claude Monet,Impressionism,landscape
84965.jpg,Felice Casorati,Expressionism,genre painting
3940.jpg,Jean-Michel Basquiat,Neo-Expressionism,abstract
15265.jpg,John Everett Millais,Realism,genre painting
37382.jpg,Gustave Moreau,Symbolism,mythological painting
85237.jpg,Francisco de Zurbaran,Baroque,portrait
89785.jpg,William-Adolphe Bouguereau,Neoclassicism,genre painting
96157.jpg,Vincent van Gogh,Realism,genre painting
22913.jpg,Georg Pauli,Impressionism,landscape
61502.jpg,Honore Daumier,Realism,genre painting
68230.jpg,Pierre Bonnard,Intimism,interior
93213.jpg,Limbourg brothers,International Gothic,illustration
77985.jpg,Claude Monet,Impressionism,landscape
62505.jpg,Hans Holbein the Younger,Northern Renaissance,portrait
4343.jpg,Francisco de Zurbaran,Baroque,religious painting
10144.jpg,Balthus,Surrealism,genre painting
70221.jpg,Henri Matisse,Orientalism,nude painting (nu)
43122.jpg,Utagawa Kuniyoshi,Ukiyo-e,battle painting
35094.jpg,Henri Matisse,Post-Impressionism,portrait
16065.jpg,Gustave Moreau,Symbolism,religious painting
32108.jpg,Thomas Eakins,Realism,genre painting
46998.jpg,August Macke,Orphism,genre painting
88110.jpg, Wassily Kandinsky,Expressionism,allegorical painting
72537.jpg,Adriaen van Ostade,Baroque,portrait
96187.jpg,Paolo Scheggi,Spatialism,abstract
34524.jpg,Frida Kahlo,Naïve Art (Primitivism),self-portrait
11893.jpg,Balthus,Expressionism,genre painting
45909.jpg,Pierre Bonnard,Japonism,genre painting
29703.jpg,Thomas Eakins,Realism,sketch and study
48902.jpg,Thomas Eakins,Realism,portrait
53329.jpg,Aubrey Beardsley,Art Nouveau (Modern),illustration
93442.jpg,Paul Cezanne,Post-Impressionism,mythological painting
54452.jpg,Pierre-Paul Prud'hon,Neoclassicism,mythological painting
63497.jpg,Frida Kahlo,Naïve Art (Primitivism),genre painting
252.jpg,Max Pechstein,Post-Impressionism,marina
15691.jpg,Le Nain brothers,Baroque,genre painting
27716.jpg,Jusepe de Ribera,Baroque,religious painting
1032.jpg,Lyubov Popova,Cubism,portrait
8225.jpg,Eugene de Blaas,Academicism,portrait
65553.jpg,Vincent van Gogh,Realism,landscape
32935.jpg,John Ruskin,Romanticism,landscape
8751.jpg,Fernand Leger,Naïve Art (Primitivism),genre painting
37896.jpg,Fernand Leger,Cubism,still life
93210.jpg,Gustave Dore,Romanticism,illustration
41954.jpg,Max Liebermann,Impressionism,genre painting
3629.jpg,William-Adolphe Bouguereau,Neoclassicism,allegorical painting
93007.jpg,Paul Cezanne,Post-Impressionism,genre painting
15993.jpg,Thomas Gainsborough,Rococo,portrait
66096.jpg,Claude Monet,Impressionism,landscape
40054.jpg,Nicolae Grigorescu,Impressionism,self-portrait
39463.jpg,Edouard Cortes,Post-Impressionism,cityscape
72732.jpg,Amedeo Modigliani,Expressionism,portrait
93907.jpg,Martin Schongauer,Northern Renaissance,religious painting
46499.jpg,Utagawa Kuniyoshi,Ukiyo-e,portrait
63275.jpg,Jean-Michel Basquiat,Neo-Expressionism,abstract
25225.jpg,Franz Stuck,Symbolism,symbolic painting
43905.jpg,Max Beckmann,Expressionism,self-portrait
69137.jpg,Vincent van Gogh,Post-Impressionism,cityscape
88870.jpg,Pierre-Paul Prud'hon,Neoclassicism,nude painting (nu)
3791.jpg,Jean-Michel Basquiat,Neo-Expressionism,figurative
95223.jpg,Felix Vallotton ,Post-Impressionism,nude painting (nu)
53181.jpg,Ivan Bilibin,Art Nouveau (Modern),illustration
60771.jpg,Frida Kahlo,Naïve Art (Primitivism),self-portrait
80067.jpg,Pierre Bonnard,Intimism,nude painting (nu)
99763.jpg,Guido Reni,Baroque,mythological painting
25105.jpg,Georges de la Tour,Tenebrism,genre painting
710.jpg,Vincent van Gogh,Post-Impressionism,self-portrait
64069.jpg,Edgar Degas,Impressionism,nude painting (nu)
3231.jpg,Antoine Pesne,Rococo,portrait
27555.jpg,Balthus,Expressionism,genre painting
48376.jpg,Jacek Malczewski,Art Nouveau (Modern),portrait
2970.jpg,Vincent van Gogh,Post-Impressionism,portrait
68839.jpg,John Ruskin,Romanticism,landscape
77074.jpg,Caravaggio,Baroque,religious painting
93055.jpg,Charles Rennie Mackintosh,Art Nouveau (Modern),design
82026.jpg,Felix Vallotton ,Post-Impressionism,cloudscape
73473.jpg,Theo van Rysselberghe,Impressionism,genre painting
76234.jpg,Guido Reni,Baroque,religious painting
6615.jpg,Joseph Wright,Romanticism,portrait
70742.jpg,Viktor Vasnetsov,Romanticism,portrait
27699.jpg,Salvador Dali,Surrealism,mythological painting
100808.jpg,Koloman Moser,Art Nouveau (Modern),design
92710.jpg,Aubrey Beardsley,Art Nouveau (Modern),design
94471.jpg,Georges de la Tour,Tenebrism,genre painting
71303.jpg,Utagawa Kunisada,Ukiyo-e,battle painting
50417.jpg,Jose Clemente Orozco,Muralism,symbolic painting
2626.jpg,Jose Clemente Orozco,Muralism,symbolic painting
3522.jpg,John William Godward,Neoclassicism,landscape
32567.jpg,Amedeo Modigliani,Expressionism,portrait
30849.jpg,Mikalojus Ciurlionis,Symbolism,sketch and study
13216.jpg,James Tissot,Realism,portrait
4031.jpg,John Everett Millais,Romanticism,religious painting
60828.jpg,Salvador Dali,Surrealism,religious painting
45810.jpg,Johannes Vermeer,Baroque,portrait
43896.jpg,Vincent van Gogh,Post-Impressionism,portrait
80536.jpg,El Lissitzky,Constructivism,design
